PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1lqhE,2r5/1b1q2k1/p3pr1p/1pb5/2pN1Q2/8/PPP2BPP/4RRK1 w - - 0 23,f4g4 f6g6 d4e6 d7e6 e1e6 g6g4,1991,159,40,14,crushing defensiveMove long middlegame,https://lichess.org/RZUUFVY2#45,
1lqhF,1r3rk1/pB2pp1p/3p2p1/8/q7/4Q2P/2P1KPP1/1R5R w - - 0 22,h1c1 b8b7 b1b7 a4a6 b7b5 a6b5,1617,74,96,5826,crushing fork long middlegame sacrifice,https://lichess.org/pMOuXVy2#43,
1lqi2,1k1B4/3p1Q1p/3Np3/4P3/p1P5/R7/KP1q2rP/8 w - - 1 36,d8c7 b8c7 a3b3 a4b3,975,117,100,18,crushing endgame hangingPiece short,https://lichess.org/oAIRneSR#71,
1lqm6,4Qk1r/p1r3p1/3p1bBp/1qpP4/8/8/PP4PP/4RR1K b - - 7 27,b5e8 e1e8,916,90,90,105,mate mateIn1 middlegame oneMove pin,https://lichess.org/g2lbRSWD/black#54,
1lqnT,r4r1k/2P2ppp/8/p2Q4/P1B5/5Pbn/1P6/R5K1 w - - 0 30,g1g2 h3f4 g2g3 f4d5 c4d5 a8a7,2068,75,91,1532,crushing fork long middlegame,https://lichess.org/wjTfsSbK#59,
1lqqy,1r4k1/R4ppp/6q1/3Q2P1/8/1P4K1/5P2/8 b - - 0 36,g6b6 d5f7 g8h8 f7g7,963,76,100,342,endgame mate mateIn2 short,https://lichess.org/TEuLDMrO/black#72,
1lqsE,3R4/7P/8/8/2p3P1/2kp4/4r3/3K4 b - - 0 47,e2h2 h7h8q h2h8 d8h8,878,75,99,741,advancedPawn crushing endgame promotion short,https://lichess.org/hBL2oA5Q/black#94,
1lr2l,r2qr1k1/pb2bp1p/6pB/2p5/3p4/3B2QP/PPP2PP1/R3R2K b - - 1 17,e7h4 e1e8 d8e8 g3h4,1183,75,97,2714,crushing kingsideAttack middlegame short,https://lichess.org/vLgA0fyY/black#34,Scotch_Game Scotch_Game_Other_variations
1lrAe,r4k2/1b3ppp/1pn1p3/2q5/3N4/1Qn1P3/P3BPPP/3R1RK1 w - - 0 18,d1d2 c6d4 e3d4 c5g5 e2g4 g5d2,2363,76,94,6063,crushing long middlegame,https://lichess.org/uOL46fNg#35,Nimzo-Indian_Defense Nimzo-Indian_Defense_Classical_Variation
1lrBY,rnbqk2r/ppp2p2/3p1n2/4p1B1/2B1P3/2P5/PPP2PPP/R2QK2R b KQkq - 0 9,c8g4 g5f6 d8f6 d1g4,1330,76,82,324,advantage capturingDefender opening short,https://lichess.org/l3yNR982/black#18,Vienna_Game Vienna_Game_Stanley_Variation
